id,Time (Sec),Temperature (deg),K PID,Heater State,SETTINGS:
439,438.0,34.45,-1,0,
440,439.0,34.45,0,0,
441,440.0,34.20,0,0,
442,441.0,34.20,0,0,
443,442.0,34.08,0,0,
444,443.0,33.95,5,0,
445,444.0,33.95,6,0,
446,445.0,33.83,7,0,
447,446.0,33.71,8,0,
448,447.0,33.71,9,0,
449,448.0,33.71,10,0,
450,449.0,33.71,11,0,
451,450.0,33.59,12,10,
452,451.0,33.59,13,10,
453,452.0,33.46,14,10,
454,453.0,33.46,15,10,
455,454.0,33.34,15,10,
456,455.0,33.34,15,10,
457,456.0,33.22,15,10,
458,457.0,33.10,15,10,
459,458.0,33.10,15,10,
460,459.0,33.10,15,10,
461,460.0,32.98,15,10,
462,461.0,32.98,15,10,
463,462.0,32.98,15,10,
464,463.0,32.98,15,10,
465,464.0,32.98,15,10,
466,465.0,32.98,15,10,
467,466.0,32.98,15,10,
468,467.0,32.86,15,10,
469,468.0,32.86,13,10,
470,469.0,32.86,14,10,
471,470.0,32.74,15,10,
472,471.0,32.74,15,10,
473,472.0,32.74,15,10,
474,473.0,32.62,15,10,
475,474.0,32.62,15,10,
476,475.0,32.62,15,10,
477,476.0,32.62,15,10,
478,477.0,32.62,15,10,
479,478.0,32.50,15,10,
480,479.0,32.62,15,10,
481,480.0,32.50,15,10,
482,481.0,32.50,15,10,
483,482.0,32.50,15,10,
484,483.0,32.38,15,10,
485,484.0,32.38,15,10,
486,485.0,32.38,13,10,
487,486.0,32.38,14,10,
488,487.0,32.50,15,10,
489,488.0,32.50,15,10,
490,489.0,32.38,15,10,
491,490.0,32.38,15,10,
492,491.0,32.38,15,10,
493,492.0,32.38,15,10,
494,493.0,32.38,15,10,
495,494.0,32.38,15,10,
496,495.0,32.38,15,10,
497,496.0,32.38,15,10,
498,497.0,32.26,15,10,
499,498.0,32.26,15,10,
500,499.0,32.26,15,10,
501,500.0,32.26,15,10,
502,501.0,32.26,15,10,
503,502.0,32.26,13,10,
504,503.0,32.15,14,10,
505,504.0,32.15,15,10,
506,505.0,32.26,15,10,
507,506.0,32.15,15,10,
508,507.0,32.15,15,10,
509,508.0,32.15,15,10,
510,509.0,32.15,15,10,
511,510.0,32.15,15,10,
512,511.0,32.15,15,10,
513,512.0,32.15,15,10,
514,513.0,32.03,15,10,
515,514.0,32.15,15,10,
516,515.0,32.15,15,10,
517,516.0,32.15,15,10,
518,517.0,32.15,15,10,
519,518.0,32.15,15,10,
520,519.0,32.15,13,10,
521,520.0,32.15,14,10,
522,521.0,32.15,15,10,
523,522.0,32.15,15,10,
524,523.0,32.15,15,10,
525,524.0,32.15,15,10,
526,525.0,32.15,15,10,
527,526.0,32.15,15,10,
528,527.0,32.15,15,10,
529,528.0,32.15,15,10,
530,529.0,32.15,15,10,
531,530.0,32.15,15,10,
532,531.0,32.15,15,10,
533,532.0,32.15,15,10,
534,533.0,32.15,15,10,
535,534.0,32.15,15,10,
536,535.0,32.15,15,10,
537,536.0,32.26,13,10,
538,537.0,32.26,14,10,
539,538.0,32.15,15,10,
540,539.0,32.15,15,10,
541,540.0,32.15,15,10,
542,541.0,32.15,15,10,
543,542.0,32.15,15,10,
544,543.0,32.15,15,10,
545,544.0,32.15,15,10,
546,545.0,32.15,15,10,
547,546.0,32.15,15,10,
548,547.0,32.15,15,10,
549,548.0,32.26,15,10,
550,549.0,32.26,15,10,
551,550.0,32.26,15,10,
552,551.0,32.15,15,10,
553,552.0,32.26,15,10,
554,553.0,32.26,13,10,
555,554.0,32.15,14,10,
556,555.0,32.15,15,10,
557,556.0,32.15,15,10,
558,557.0,32.15,15,10,
559,558.0,32.15,15,10,
560,559.0,32.15,15,10,
561,560.0,32.15,15,10,
562,561.0,32.15,15,10,
563,562.0,32.15,15,10,
564,563.0,32.15,15,10,
565,564.0,32.15,15,10,
566,565.0,32.15,15,10,
567,566.0,32.15,15,10,
568,567.0,32.15,15,10,
569,568.0,32.15,15,10,
570,569.0,32.15,15,10,
571,570.0,32.03,13,10,
572,571.0,32.03,14,10,
573,572.0,32.03,15,10,
574,573.0,32.03,15,10,
575,574.0,32.03,15,10,
576,575.0,32.03,15,10,
577,576.0,31.91,15,10,
578,577.0,32.03,15,10,
579,578.0,32.03,15,10,
580,579.0,32.03,15,10,
581,580.0,32.03,15,10,
582,581.0,32.03,15,10,
583,582.0,32.03,15,10,
584,583.0,31.91,15,10,
585,584.0,32.03,15,10,
586,585.0,32.03,15,10,
587,586.0,31.91,15,10,
588,587.0,31.91,15,10,
589,588.0,31.91,15,10,
590,589.0,31.91,15,10,
591,590.0,32.03,15,10,
592,591.0,32.03,15,10,
593,592.0,32.03,15,10,
594,593.0,32.03,15,10,
595,594.0,32.03,15,10,
596,595.0,32.03,15,10,
597,596.0,32.03,15,10,
598,597.0,32.03,15,10,
599,598.0,32.03,15,10,
600,599.0,32.03,15,10,
601,600.0,32.03,15,10,
602,601.0,32.03,15,10,
603,602.0,32.03,15,10,
604,603.0,32.03,13,10,
605,604.0,32.03,14,10,
606,605.0,32.03,15,10,
607,606.0,32.15,15,10,
608,607.0,32.15,15,10,
609,608.0,32.15,15,10,
610,609.0,32.03,15,10,
611,610.0,32.03,15,10,
612,611.0,32.03,15,10,
613,612.0,32.03,15,10,
614,613.0,32.03,15,10,
615,614.0,31.91,15,10,
616,615.0,31.91,15,10,
617,616.0,31.91,15,10,
618,617.0,31.91,15,10,
619,618.0,31.91,15,10,
620,619.0,31.91,15,10,
621,620.0,31.91,15,10,
622,621.0,31.91,15,10,
623,622.0,31.91,15,10,
624,623.0,32.03,15,10,
625,624.0,32.03,15,10,
626,625.0,32.03,15,10,
627,626.0,32.15,15,10,
628,627.0,32.03,15,10,
629,628.0,32.03,15,10,
630,629.0,32.03,15,10,
631,630.0,32.03,15,10,
632,631.0,32.03,15,10,
633,632.0,32.03,15,10,
634,633.0,32.03,15,10,
635,634.0,32.03,15,10,
636,635.0,32.03,13,10,
637,636.0,32.03,14,10,
638,637.0,32.03,15,10,
639,638.0,32.03,15,10,
640,639.0,32.15,15,10,
641,640.0,32.15,15,10,
642,641.0,32.03,15,10,
643,642.0,32.03,15,10,
644,643.0,32.03,15,10,
645,644.0,32.03,15,10,
646,645.0,32.03,15,10,
647,646.0,32.03,15,10,
648,647.0,32.03,15,10,
649,648.0,32.03,15,10,
650,649.0,32.03,15,10,
651,650.0,32.03,15,10,
652,651.0,32.03,15,10,
653,652.0,32.03,13,10,
654,653.0,32.15,14,10,
655,654.0,32.15,15,10,
656,655.0,32.15,15,10,
657,656.0,32.15,15,10,
658,657.0,32.15,15,10,
659,658.0,32.15,15,10,
660,659.0,32.15,15,10,
661,660.0,32.15,15,10,
662,661.0,32.03,15,10,
663,662.0,32.03,15,10,
664,663.0,32.03,15,10,
665,664.0,32.03,15,10,
666,665.0,32.03,15,10,
667,666.0,32.03,15,10,
668,667.0,32.03,15,10,
669,668.0,32.03,15,10,
670,669.0,32.03,13,10,
671,670.0,32.15,14,10,
672,671.0,32.03,15,10,
673,672.0,32.03,15,10,
674,673.0,32.15,15,10,
675,674.0,32.03,15,10,
676,675.0,32.03,15,10,
677,676.0,32.03,15,10,
678,677.0,32.03,15,10,
679,678.0,32.15,15,10,
680,679.0,32.03,15,10,
681,680.0,32.15,15,10,
682,681.0,32.03,15,10,
683,682.0,32.15,15,10,
684,683.0,32.15,15,10,
685,684.0,32.03,15,10,
686,685.0,32.03,15,10,
687,686.0,32.03,13,10,
688,687.0,32.03,14,10,
689,688.0,32.03,15,10,
690,689.0,32.03,15,10,
691,690.0,32.03,15,10,
692,691.0,32.03,15,10,
693,692.0,32.03,15,10,
694,693.0,32.03,15,10,
695,694.0,32.03,15,10,
696,695.0,32.03,15,10,
697,696.0,32.03,15,10,
698,697.0,32.15,15,10,
699,698.0,32.15,15,10,
700,699.0,32.03,15,10,
701,700.0,32.03,15,10,
702,701.0,32.03,15,10,
703,702.0,32.03,15,10,
704,703.0,32.03,13,10,
705,704.0,32.03,14,10,
706,705.0,32.03,15,10,
707,706.0,31.91,15,10,
708,707.0,32.03,15,10,
709,708.0,32.03,15,10,
710,709.0,32.03,15,10,
711,710.0,32.03,15,10,
712,711.0,32.03,15,10,
713,712.0,32.03,15,10,
714,713.0,31.91,15,10,
715,714.0,31.91,15,10,
716,715.0,31.91,15,10,
717,716.0,31.91,15,10,
718,717.0,31.91,15,10,
719,718.0,31.91,15,10,
720,719.0,31.91,15,10,
721,720.0,31.91,15,10,
722,721.0,31.91,15,10,
723,722.0,31.91,15,10,
724,723.0,31.91,15,10,
